"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.448907280E-1,3.898999929E0,-8.949999809E0,4.905000210E0,1.092537066E1
6.498716510E-1,3.657000065E0,-9.116999626E0,4.988999844E0,1.101741581E1
6.548528030E-1,3.418999910E0,-9.248999596E0,5.081999779E0,1.109325361E1
6.598338140E-1,3.210999966E0,-9.326000214E0,5.092000008E0,1.110014706E1
6.648149660E-1,3.028000116E0,-9.399999619E0,5.006000042E0,1.107198329E1
6.697959680E-1,2.891000032E0,-9.510999680E0,4.908999920E0,1.108671621E1
6.747771010E-1,2.709000111E0,-9.659999847E0,4.823999882E0,1.113217200E1
6.797581030E-1,2.480999947E0,-9.788999557E0,4.793000221E0,1.117822545E1
6.847392600E-1,2.384999990E0,-9.817000389E0,4.785999775E0,1.117888704E1
6.897202620E-1,2.444000006E0,-9.824999809E0,4.802000046E0,1.120548802E1
6.947011850E-1,2.641999960E0,-9.859000206E0,4.780000210E0,1.127068990E1
6.996823900E-1,2.917000055E0,-9.930999756E0,4.821000099E0,1.141821735E1
7.046633150E-1,3.134000063E0,-1.005399990E1,4.993000031E0,1.165482388E1
7.096444660E-1,3.194000006E0,-1.016199970E1,5.261000156E0,1.188048806E1
7.146254880E-1,3.085999966E0,-1.022200012E1,5.535999775E0,1.202746756E1
7.196066400E-1,2.976000071E0,-1.022099972E1,5.736999989E0,1.209291448E1
7.245876270E-1,2.874000072E0,-1.022799969E1,5.823999882E0,1.211572650E1
7.295687790E-1,2.803999901E0,-1.026700020E1,5.836999893E0,1.213854506E1
7.345497810E-1,2.711999893E0,-1.037699986E1,5.870999813E0,1.222725268E1
7.395309280E-1,2.494999886E0,-1.052999973E1,5.907000065E0,1.232876995E1
7.445119300E-1,2.174000025E0,-1.066499996E1,5.890999794E0,1.237628292E1
7.494930820E-1,1.820000052E0,-1.072900009E1,5.912000179E0,1.238448987E1
7.544741180E-1,1.523000002E0,-1.065799999E1,6.006000042E0,1.232820057E1
7.594552700E-1,1.314000010E0,-1.050199986E1,6.092999935E0,1.221242176E1
7.644363010E-1,1.136000037E0,-1.033899975E1,6.125000000E0,1.207066845E1
7.694174530E-1,9.610000253E-1,-1.027600002E1,6.147999763E0,1.201322599E1
7.743984600E-1,7.409999967E-1,-1.024300003E1,6.164999962E0,1.197811985E1
7.793793830E-1,4.160000086E-1,-1.019999981E1,6.138999939E0,1.191219427E1
7.843605630E-1,-8.900000155E-2,-1.005799961E1,6.080999851E0,1.175371585E1
7.893417930E-1,-7.319999933E-1,-9.885999680E0,6.025000095E0,1.160040688E1
7.943227180E-1,-1.496000051E0,-9.706999779E0,6.020999908E0,1.152025611E1
7.993037290E-1,-2.507999897E0,-9.489000320E0,6.048999786E0,1.152916254E1
8.042848800E-1,-3.740999937E0,-9.241000175E0,6.070000172E0,1.167202068E1
8.092658820E-1,-5.030000210E0,-8.977999687E0,6.011000156E0,1.191794879E1
