"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.710224710E-1,-4.232999802E0,-2.426000118E0,-2.489999980E-1,4.885259962E0
6.760030840E-1,-4.276999950E0,-2.526000023E0,-3.230000138E-1,4.977723747E0
6.809837740E-1,-4.315999985E0,-2.631999969E0,-3.880000114E-1,5.070091095E0
6.859643860E-1,-4.344999790E0,-2.703999996E0,-4.329999983E-1,5.135964189E0
6.909452300E-1,-4.372000217E0,-2.716000080E0,-4.390000105E-1,5.165632909E0
6.959258480E-1,-4.443999767E0,-2.792000055E0,-3.980000019E-1,5.263345157E0
7.009065380E-1,-4.541999817E0,-2.967000008E0,-3.149999976E-1,5.434342314E0
7.058871560E-1,-4.662000179E0,-3.141000032E0,-2.560000122E-1,5.627225149E0
7.108680000E-1,-4.656000137E0,-3.299999952E0,-1.490000039E-1,5.708812308E0
7.158486360E-1,-4.352000237E0,-3.371000051E0,-1.529999971E-1,5.506991593E0
7.208293260E-1,-3.667000055E0,-3.407000065E0,-1.459999979E-1,5.007579739E0
7.258099580E-1,-2.819000006E0,-3.513000011E0,-9.300000221E-2,4.505172484E0
7.307905730E-1,-2.042999983E0,-3.710000038E0,1.499999966E-2,4.235348181E0
7.357714170E-1,-1.513000011E0,-3.901000023E0,2.060000002E-1,4.189201143E0
7.407520350E-1,-1.197999954E0,-4.011000156E0,3.910000026E-1,4.204308165E0
7.457327250E-1,-1.123999953E0,-4.032999992E0,5.740000010E-1,4.225865691E0
7.507135710E-1,-1.332999945E0,-3.983000040E0,7.070000172E-1,4.259228474E0
7.556941990E-1,-1.789000034E0,-3.882999897E0,7.500000000E-1,4.340588592E0
7.606748890E-1,-2.727999926E0,-3.506999969E0,7.689999938E-1,4.509145526E0
7.656554770E-1,-3.936000109E0,-3.371000051E0,3.740000129E-1,5.195730383E0
7.706363220E-1,-4.355999947E0,-3.480000019E0,-2.070000023E-1,5.579245887E0
