"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.168195580E-1,3.999999911E-2,-1.203999996E0,1.750000000E0,2.124550774E0
7.218004810E-1,-2.169999927E-1,-1.031999946E0,2.147000074E0,2.392012166E0
7.267814040E-1,-4.860000014E-1,-1.031999946E0,2.516999960E0,2.763423364E0
7.317623130E-1,-6.230000257E-1,-1.059999943E0,2.757999897E0,3.019651030E0
7.367432360E-1,-6.449999809E-1,-1.097000003E0,2.829999924E0,3.102955615E0
7.417241630E-1,-7.099999785E-1,-1.111999989E0,2.766999960E0,3.065441685E0
7.467050870E-1,-9.070000052E-1,-1.054999948E0,2.586999893E0,2.937386993E0
7.516859350E-1,-1.235000014E0,-9.020000100E-1,2.415999889E0,2.859350367E0
7.566669330E-1,-1.588999987E0,-7.409999967E-1,2.322000027E0,2.909585207E0
7.616477810E-1,-1.914999962E0,-5.899999738E-1,2.200999975E0,2.976529139E0
7.666287020E-1,-2.295000076E0,-3.790000081E-1,2.121999979E0,3.148579087E0
7.716095960E-1,-2.759999990E0,-1.790000051E-1,2.173000097E0,3.517324320E0
7.765905190E-1,-3.325000048E0,-8.699999750E-2,2.305999994E0,4.047323843E0
7.815714470E-1,-3.673000097E0,-2.199999988E-2,2.387000084E0,4.380545984E0
7.865523700E-1,-3.878000021E0,-1.400000043E-2,2.529000044E0,4.629786322E0
7.915332640E-1,-4.004000187E0,3.500000015E-2,2.579999924E0,4.763364578E0
7.965141870E-1,-4.032999992E0,1.570000052E-1,2.599999905E0,4.801014210E0
8.014951110E-1,-4.048999786E0,2.860000134E-1,2.572999954E0,4.805884314E0
8.064760350E-1,-3.993000031E0,3.210000098E-1,2.526000023E0,4.735796276E0
8.114569590E-1,-3.940000057E0,3.249999881E-1,2.428999901E0,4.639964004E0
8.164378780E-1,-3.943000078E0,3.759999871E-1,2.240000010E0,4.550409394E0
8.214188010E-1,-4.068999767E0,4.690000117E-1,2.108999968E0,4.607016494E0
8.263994930E-1,-4.308000088E0,5.630000234E-1,1.944000006E0,4.759723711E0
8.313806450E-1,-4.591000080E0,6.110000014E-1,1.712000012E0,4.937767388E0
8.363613390E-1,-4.847000122E0,6.219999790E-1,1.414999962E0,5.087486516E0
8.413422700E-1,-5.019999981E0,6.259999871E-1,1.065000057E0,5.169767975E0
8.463231930E-1,-5.130000114E0,5.749999881E-1,7.210000157E-1,5.212232457E0
8.513041160E-1,-5.265999794E0,5.009999871E-1,3.549999893E-1,5.301677075E0
8.562850300E-1,-5.472000122E0,5.500000119E-1,7.000000030E-2,5.500016850E0
8.612659530E-1,-5.627999783E0,6.060000062E-1,-6.599999964E-2,5.660916318E0
8.662468760E-1,-5.671999931E0,5.220000148E-1,-1.840000004E-1,5.698940536E0
8.712277990E-1,-5.642000198E0,4.040000141E-1,-3.149999976E-1,5.665210256E0
8.762087220E-1,-5.598000050E0,3.560000062E-1,-4.070000052E-1,5.624054548E0
8.811896400E-1,-5.522999763E0,4.009999931E-1,-5.180000067E-1,5.561712991E0
8.861705630E-1,-5.458000183E0,4.830000103E-1,-6.330000162E-1,5.515772297E0
8.911514860E-1,-5.409999847E0,5.260000229E-1,-6.679999828E-1,5.476403779E0
8.961324420E-1,-5.382999897E0,5.360000134E-1,-6.290000081E-1,5.446065086E0
9.011133660E-1,-5.375999928E0,5.649999976E-1,-5.440000296E-1,5.432912318E0
9.060942900E-1,-5.407000065E0,5.799999833E-1,-3.799999952E-1,5.451279637E0
