"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.993120530E-1,-7.609999776E-1,-1.702400017E1,1.411999941E0,1.709939901E1
7.042932070E-1,-1.030000001E-1,-1.750699997E1,7.250000238E-1,1.752230812E1
7.092742090E-1,2.049999982E-1,-1.799900055E1,1.000000047E-3,1.800016797E1
7.142551550E-1,1.490000039E-1,-1.833499908E1,-6.809999943E-1,1.834824660E1
7.192363070E-1,-1.400000006E-1,-1.841500092E1,-1.116999984E0,1.844937798E1
7.242173090E-1,-4.009999931E-1,-1.837800026E1,-1.496999979E0,1.844322920E1
7.291982320E-1,-4.620000124E-1,-1.829999924E1,-2.023000002E0,1.841727301E1
7.341793840E-1,-3.580000103E-1,-1.825300026E1,-2.388999939E0,1.841215640E1
7.391603960E-1,-1.659999937E-1,-1.827000046E1,-2.677000046E0,1.846582795E1
7.441415480E-1,-8.999999613E-3,-1.850399971E1,-3.522000074E0,1.883620373E1
7.491224730E-1,-1.010000035E-1,-1.894199944E1,-4.511000156E0,1.947199697E1
7.541034660E-1,-3.670000136E-1,-1.921500015E1,-4.985000134E0,1.985449939E1
7.590843910E-1,-6.520000100E-1,-1.902099991E1,-4.919000149E0,1.965757116E1
7.640655620E-1,-7.379999757E-1,-1.844499969E1,-4.906000137E0,1.910056269E1
7.690465640E-1,-5.860000253E-1,-1.768600082E1,-5.138999939E0,1.842681040E1
7.740274870E-1,-3.039999902E-1,-1.708900070E1,-5.451000214E0,1.793989310E1
7.790086390E-1,-6.100000069E-2,-1.683900070E1,-5.678999901E0,1.777095117E1
7.839896410E-1,0.000000000E0,-1.672900009E1,-5.717999935E0,1.767922417E1
7.889707920E-1,-4.100000113E-2,-1.650600052E1,-5.495999813E0,1.739700400E1
7.939517170E-1,-6.700000167E-2,-1.622299957E1,-5.092999935E0,1.700378936E1
7.989327150E-1,-7.599999905E-1,-1.584399986E1,-4.070000172E0,1.637604449E1
8.039138600E-1,-1.120000005E0,-1.559399986E1,-2.953999996E0,1.591079343E1
8.088947850E-1,-1.151000023E0,-1.554899979E1,-1.891999960E0,1.570591797E1
8.138757830E-1,-9.789999723E-1,-1.560000038E1,-1.146000028E0,1.567264397E1
8.188569220E-1,-8.289999962E-1,-1.553400040E1,-8.579999804E-1,1.557974882E1
8.238379240E-1,-7.509999871E-1,-1.533199978E1,-9.020000100E-1,1.537685996E1
8.288188710E-1,-1.957999945E0,-1.395899963E1,-2.509999871E-1,1.409788763E1
8.338000230E-1,-2.755000114E0,-1.245800018E1,6.899999827E-2,1.275917533E1
8.387809590E-1,-3.236000061E0,-1.107999992E1,7.000000216E-3,1.154288282E1
8.437621880E-1,-3.588000059E0,-1.007900047E1,-4.370000064E-1,1.070751904E1
8.487431130E-1,-3.913000107E0,-9.397000313E0,-1.177000046E0,1.024697584E1
8.537241130E-1,-4.182000160E0,-8.690999985E0,-2.058000088E0,9.861945571E0
8.587050360E-1,-4.348000050E0,-7.738999844E0,-2.752000093E0,9.293585289E0
8.636861880E-1,-4.290999889E0,-6.690000057E0,-3.289999962E0,8.601911448E0
8.686671940E-1,-3.980000019E0,-5.872000217E0,-3.950000048E0,8.119315678E0
8.736481170E-1,-3.575000048E0,-5.322000027E0,-4.731999874E0,7.968446049E0
8.786292890E-1,-3.240999937E0,-4.967000008E0,-5.335000038E0,7.977305001E0
8.836102910E-1,-2.947999954E0,-4.777999878E0,-5.790999889E0,8.065709286E0
8.885914430E-1,-2.644000053E0,-4.657999992E0,-6.249000072E0,8.230291739E0
8.935723720E-1,-2.312999964E0,-4.394999981E0,-6.748000145E0,8.378633518E0
8.985533700E-1,-1.965999961E0,-4.014999866E0,-7.276000023E0,8.539646135E0
9.035345150E-1,-1.560999990E0,-3.730999947E0,-7.656000137E0,8.658603795E0
9.085155170E-1,-1.082000017E0,-3.701999903E0,-7.999000072E0,8.880288817E0
9.134964400E-1,-7.289999723E-1,-3.779000044E0,-8.265999794E0,9.118060917E0
9.184775720E-1,-4.779999852E-1,-3.904999971E0,-8.199000359E0,9.094015375E0
9.234585740E-1,-1.759999990E-1,-4.098999977E0,-8.008999825E0,8.998714075E0
9.284394970E-1,3.500000015E-2,-4.278999805E0,-8.052000046E0,9.118430187E0
9.334206400E-1,1.400000043E-2,-4.357999802E0,-8.328000069E0,9.399358670E0
9.384015650E-1,-7.900000364E-2,-4.532999992E0,-8.550999641E0,9.678529062E0
9.433825530E-1,-2.169999927E-1,-4.751999855E0,-8.694999695E0,9.911186171E0
9.483637070E-1,-4.289999902E-1,-4.973999977E0,-8.835000038E0,1.014800189E1
9.533447090E-1,-6.669999957E-1,-5.250000000E0,-8.946999550E0,1.039500793E1
9.583256370E-1,-7.979999781E-1,-5.566999912E0,-8.942999840E0,1.056435223E1
9.633067890E-1,-8.429999948E-1,-5.843999863E0,-8.869000435E0,1.065467748E1
9.682877910E-1,-8.769999743E-1,-6.177999973E0,-8.987999916E0,1.094170714E1
9.732689000E-1,-9.570000172E-1,-6.539999962E0,-9.298000336E0,1.140790335E1
9.782498250E-1,-1.060999990E0,-6.941999912E0,-9.605999947E0,1.189925707E1
9.832308030E-1,-1.225999951E0,-7.264999866E0,-9.911000252E0,1.234954351E1
9.882119570E-1,-1.389999986E0,-7.543000221E0,-1.011800003E1,1.269656949E1
9.931928820E-1,-1.475000024E0,-7.888000011E0,-1.027799988E1,1.303968752E1
9.981738800E-1,-1.542999983E0,-8.409999847E0,-1.016699982E1,1.328445827E1
1.003154805E0,-1.598000050E0,-8.977000237E0,-9.633999825E0,1.326476875E1
1.008135948E0,-1.636000037E0,-9.418000221E0,-8.852999687E0,1.302884599E1
1.013116950E0,-1.712000012E0,-9.777000427E0,-8.112999916E0,1.281957289E1
1.018098102E0,-1.782999992E0,-1.016899967E1,-7.357999802E0,1.267784699E1
1.023079003E0,-1.830000043E0,-1.067899990E1,-6.473999977E0,1.262151396E1
1.028060001E0,-1.835000038E0,-1.115200043E1,-5.425000191E0,1.253654521E1
1.033041155E0,-1.902999997E0,-1.189900017E1,-4.130000114E0,1.273830895E1
1.038022157E0,-1.886000037E0,-1.281000042E1,-2.849999905E0,1.325803931E1
1.043003080E0,-1.947999954E0,-1.376799965E1,-1.455000043E0,1.398104228E1
1.047984231E0,-2.151000023E0,-1.467700005E1,1.299999952E-1,1.483435308E1
1.052965233E0,-2.496000051E0,-1.552700043E1,1.723000050E0,1.582044524E1
1.057946157E0,-2.848999977E0,-1.637400055E1,3.398999929E0,1.696401767E1
1.062927303E0,-3.112999916E0,-1.739599991E1,5.040999889E0,1.837724847E1
1.067908229E0,-3.357000113E0,-1.857299995E1,6.732999802E0,2.003893868E1
1.072889227E0,-3.776000023E0,-1.980599976E1,8.493000031E0,2.187845634E1
1.077870365E0,-4.357999802E0,-2.092600060E1,1.063799953E1,2.387586014E1
1.082851367E0,-4.831999779E0,-2.180299950E1,1.250399971E1,2.559431612E1
1.087832290E0,-5.335999966E0,-2.253100014E1,1.379100037E1,2.695014942E1
1.092813447E0,-5.969999790E0,-2.306100082E1,1.470899963E1,2.799652348E1
1.097794449E0,-6.657999992E0,-2.338999939E1,1.551399994E1,2.884623423E1
1.102775601E0,-7.112999916E0,-2.366399956E1,1.603499985E1,2.945676260E1
1.107756526E0,-7.170000076E0,-2.414900017E1,1.623999977E1,2.997199864E1
1.112737524E0,-6.999000072E0,-2.487400055E1,1.625900078E1,3.052960877E1
1.117718435E0,-6.969999790E0,-2.589399910E1,1.619000053E1,3.132405152E1
1.122699587E0,-7.383999825E0,-2.691799927E1,1.653300095E1,3.244136647E1
1.127680589E0,-8.260000229E0,-2.728700066E1,1.708300018E1,3.323607835E1
1.132661512E0,-8.763999939E0,-2.754800034E1,1.780900002E1,3.395379948E1
1.137642664E0,-8.609999657E0,-2.802499962E1,1.919899940E1,3.504474677E1
1.142623666E0,-8.053999901E0,-2.819499969E1,2.142799950E1,3.631782048E1
1.147604803E0,-7.248000145E0,-2.771599960E1,2.304000092E1,3.676345716E1
1.152585728E0,-6.117000103E0,-2.724200058E1,2.430500031E1,3.701725713E1
1.157566721E0,-5.037000179E0,-2.746899986E1,2.763500023E1,3.928880963E1
1.162547875E0,-3.753000021E0,-2.782099915E1,3.002300072E1,4.110320638E1
1.167528877E0,-1.838000059E0,-2.820199966E1,3.176300049E1,4.251610553E1
1.172509800E0,-4.600000009E-2,-2.825399971E1,3.307699966E1,4.350147724E1
1.177490952E0,9.890000224E-1,-2.787700081E1,3.375000000E1,4.378547470E1
1.182471978E0,8.610000014E-1,-2.730599976E1,3.452799988E1,4.402887370E1
1.187452901E0,-8.799999952E-2,-2.706999969E1,3.480899811E1,4.409601997E1
1.192434053E0,-1.662999988E0,-2.726199913E1,3.351100159E1,4.323157865E1
1.197414993E0,-3.405999899E0,-2.756399918E1,3.069300079E1,4.139366115E1
1.202396222E0,-4.426000118E0,-2.749099922E1,2.779599953E1,3.934414956E1
1.207377147E0,-4.547999859E0,-2.714500046E1,2.498600006E1,3.717304873E1
1.212358142E0,-3.970999956E0,-2.661000061E1,2.286700058E1,3.530949856E1
1.217339065E0,-3.358999968E0,-2.559900093E1,2.213400078E1,3.400743624E1
1.222320207E0,-2.667000055E0,-2.447500038E1,2.271999931E1,3.350129702E1
1.227301209E0,-1.995000005E0,-2.402499962E1,2.422800064E1,3.417859925E1
1.232282361E0,-2.069000006E0,-2.412599945E1,2.634000015E1,3.577904720E1
1.237263310E0,-3.099999905E0,-2.407399940E1,2.888500023E1,3.772944056E1
1.242244308E0,-4.263999939E0,-2.328700066E1,3.060600090E1,3.869358327E1
1.247225462E0,-4.849999905E0,-2.167900085E1,3.229000092E1,3.919369511E1
1.252206349E0,-4.605000019E0,-2.070999908E1,3.399000168E1,4.006782127E1
1.257187347E0,-3.697000027E0,-2.069199944E1,3.540499878E1,4.117451382E1
1.262168506E0,-2.414000034E0,-2.096599960E1,3.644800186E1,4.211718622E1
1.267149508E0,-1.097000003E0,-2.066099930E1,3.689599991E1,4.230124242E1
1.272130421E0,-2.739999890E-1,-1.970999908E1,3.636299896E1,4.136214252E1
1.277111573E0,-2.210000008E-1,-1.874600029E1,3.557099915E1,4.020892125E1
1.282092531E0,-7.979999781E-1,-1.797699928E1,3.452399826E1,3.893219443E1
1.287073529E0,-2.030999899E0,-1.746899986E1,3.300400162E1,3.739725979E1
1.292054683E0,-3.332999945E0,-1.654299927E1,3.204399872E1,3.621598497E1
1.297035657E0,-4.173999786E0,-1.495699978E1,3.181399918E1,3.540147822E1
1.302016580E0,-4.458000183E0,-1.333600044E1,3.185499954E1,3.482044901E1
1.306997732E0,-4.070000172E0,-1.195499992E1,3.282600021E1,3.517148297E1
1.311978734E0,-3.306999922E0,-1.095600033E1,3.434700012E1,3.620340604E1
1.316959885E0,-2.137000084E0,-1.043900013E1,3.584700012E1,3.739715111E1
1.321940819E0,-8.420000076E-1,-9.774999619E0,3.690399933E1,3.818592343E1
1.326921818E0,3.880000114E-1,-8.895999908E0,3.786399841E1,3.889693734E1
1.331902971E0,1.412999988E0,-7.995999813E0,3.820199966E1,3.905541397E1
1.336883896E0,2.098000050E0,-7.357999802E0,3.825899887E1,3.901657032E1
1.341864894E0,2.322000027E0,-6.959000111E0,3.769400024E1,3.840126327E1
1.346845820E0,2.137000084E0,-6.564000130E0,3.622100067E1,3.687294071E1
1.351827053E0,1.835999966E0,-6.388999939E0,3.445600128E1,3.509139838E1
1.356807978E0,1.886999965E0,-6.724999905E0,3.368099976E1,3.439761819E1
1.361789149E0,1.802000046E0,-7.598999977E0,3.342399979E1,3.432427372E1
1.366770074E0,1.059000015E0,-8.710000038E0,3.277999878E1,3.393396384E1
